token_address,name,symbol,decimals,rpc_block_number,fetched_at,fetch_status,error_code
0x013bb7458f51b2e4c06eed814b8ef353dac947e9,SEGA Metaverse,SEGA,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x03ad4a241476fa3f6f1e78f7a3089c45ec25693a,Wiener AI,WAI,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x074555c60f507678a0ffb7ea5c2a531c47d118cc,The Meme Games,MGMES,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x08c752260b8eb58174ea8379f57ad6bd8d656e98,Eliza,Eliza,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x0a62c26c52deeedc84e2f38e461a4fdecdaad420,Aptos,APT,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x0a62f4936b5baf5da86601b397f3602e7660799a,Tesla DAO,Tesla,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x0b4f75087d3452e538b5781efdac6bc02b3ff9b5,Silly Dragon,Silly,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x0ccae1bc46fb018dd396ed4c45565d4cb9d41098,Vitalik's Dog,MISHA,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x0e5be99f60178fb0c807c6ae0d3971879da39aa8,alpha,ALPHA,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x127e570574fad82903fe46a95c84938c28ffc468,Merry Christmas,XMAS,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x1320a2732588d982534dc0fb013dde181198e131,Happy New Year,HNY,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x14ce39d1b1c7fe0d40f5cb1f81935842b669c75e,X Ethereum,XETH,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x15616c208c8ed59f86b1d29c02d0de387720b3eb,From Vitalik Buterin,VITALIK,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x174cd3359c6a4e6b64d2995da4e2e4631379526e,NVIDIA AI,NVIDIA AI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x17d2fd348d70035c4c03d740f435cf4e028812e9,Goatseus Maximus,GOAT,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x195ec13ef52c30ceb4019a055e7938dafae21b6a,Tesla AI,TESLA AI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x1d1f1f918d3d818d6521f54491b96f9eb6882850,Butterin,BUTTERIN,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x1f186de364a56e741fcb188d37a393d409d08aea,Aerodrome,AERO,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x21a4d9a037a06b0dfe7d6067edbe10b64795dee6,BlockDAG,BDAG,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad,MOO DENG,MOODENG,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x28c6047e64babc52a2d89df83d6bc3697c8d0849,VITALIK,VITALIK,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x28e7eb4768b7fb4d1dfb67f60f2d3d2133a422df,OFFICIAL TRUMP,TRUMP,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x2d94bfdbd982e4e988928ddc2c4cf26d5ff115cd,Baby Ethereum,BABYETH,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x3579781bcfefc075d2cb08b815716dc0529f3c7d,ETH,ETH,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x3798c465efa3b2b8eff582d2d20ece040e897aa7,vitalik0,vitalik0,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x3b37c2c1b07cad13048c5e76c528e50820d7be93,XETH,XETH,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x3c0e5bb0b531a2ab9bf4bd0458ba68c674138254,Vitalik Buterin,VITALIK,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x3c909d53da9eccd51ab857333c205f0e094feeee,Rocket PEPE,RPEPE,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
